City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
252,weno,7.4515,151.8468,85.95,79,75,8.05,FM,1687925293
253,south sioux city,42.4739,-96.4136,74.19,56,100,9.22,US,1687925294
254,suomussalmi,64.8869,28.9078,61.66,78,98,3.24,FI,1687925275
255,luderitz,-26.6481,15.1594,55.92,91,100,20.31,NA,1687925294
256,yatou,37.15,122.3833,82.62,65,96,10.87,CN,1687925295
257,sodankyla,67.4167,26.6,62.64,75,82,1.36,FI,1687925295
258,ambert,45.55,3.75,54.63,78,5,2.24,FR,1687925296
259,marsabit,2.3284,37.9899,60.84,80,72,12.37,KE,1687925296
260,rongelap,11.1635,166.8941,82.8,81,77,17.98,MH,1687925296
261,san antonio,29.4241,-98.4936,90.46,57,0,18.41,US,1687925121
262,akropong,5.9746,-0.0854,69.08,86,100,5.73,GH,1687925297
263,manay,7.215,126.5397,86.54,70,82,8.61,PH,1687925297
264,puerto aysen,-45.4,-72.7,38.53,99,97,3.18,CL,1687925298
265,zaranj,30.9667,61.8833,94.96,10,0,21.14,AF,1687925298
266,orshanka,56.9161,47.8933,61.5,73,92,3.83,RU,1687925299
267,aykhal,66.0,111.5,70.52,55,98,14.43,RU,1687925227
268,tolanaro,-25.0319,46.9987,60.98,86,9,4.05,MG,1687925299
269,praya,14.9215,-23.5087,73.94,83,20,11.5,CV,1687925300
270,luwuk,-0.9516,122.7875,84.34,78,60,2.33,ID,1687925237
271,bonthe,7.5264,-12.505,77.14,81,100,10.56,SL,1687925300
272,kristiansund,63.1115,7.732,57.25,82,100,4.61,NO,1687925301
273,canton,23.1167,113.25,91.35,50,53,6.73,CN,1687925301
274,ribeira grande,38.5167,-28.7,69.78,84,70,17.0,PT,1687925301
275,fort st. john,56.2499,-120.8529,62.49,82,75,8.05,CA,1687925159
276,fisterra,42.9049,-9.2629,64.02,85,54,19.48,ES,1687925302
277,wanxian,30.8039,108.3897,85.44,76,100,4.72,CN,1687925303
278,as safirah,36.077,37.3725,72.57,76,0,13.06,SY,1687925303
279,betioky,-23.7167,44.3833,55.02,90,0,5.17,MG,1687925303
280,suntar,62.1444,117.6319,83.25,44,2,8.21,RU,1687925304
281,makurazaki,31.2667,130.3167,79.34,81,68,11.21,JP,1687925304
282,polovinnoye,54.7914,65.9864,61.81,64,11,11.25,RU,1687925305
283,santa vitoria do palmar,-33.5189,-53.3681,54.32,95,100,11.36,BR,1687925305
284,chamba,32.5667,76.1333,78.28,77,98,2.08,IN,1687925234
285,ponta delgada,37.7333,-25.6667,68.72,83,20,5.75,PT,1687925306
286,bismarck,46.8083,-100.7837,67.42,87,40,5.75,US,1687925174
287,enewetak,11.3474,162.3373,82.89,81,26,17.63,MH,1687925307
288,tongren,27.7172,109.1853,88.57,61,100,10.49,CN,1687925307
289,kalkaman,51.9525,76.0211,60.73,71,100,22.82,KZ,1687925307
290,tengrela,10.4869,-6.4097,72.3,94,76,4.54,CI,1687925197
291,zhuzhou,27.8333,113.15,91.04,58,97,11.97,CN,1687925308
292,at taj,24.2049,23.2857,76.08,34,0,6.8,LY,1687925309
293,el tigre,8.8875,-64.2454,75.69,86,87,6.42,VE,1687925309
294,juneau,58.3019,-134.4197,60.22,95,75,5.75,US,1687925309
295,nuku'alofa,-21.1333,-175.2,75.54,83,75,11.5,TO,1687925310
296,key west,24.5557,-81.7826,84.99,79,0,0.0,US,1687925310
297,harstad,68.799,16.5293,55.24,90,11,8.63,NO,1687925310
298,mazamari,-11.3258,-74.5308,73.67,76,93,1.03,PE,1687925311
299,clermont,49.5,2.4167,56.01,85,36,4.81,FR,1687925191
300,kamina,-8.7386,24.9906,60.35,67,2,2.53,CD,1687925312
301,pemba,-12.974,40.5178,71.51,74,0,7.74,MZ,1687925312
302,qamdo,31.1667,97.2333,61.7,36,47,3.91,CN,1687925312
303,puerto madryn,-42.7692,-65.0385,47.98,61,81,9.42,AR,1687925313
304,dubovskoye,47.4092,42.7575,65.98,71,0,9.66,RU,1687925313
305,chonchi,-42.6128,-73.8092,45.12,94,99,2.71,CL,1687925314
306,mahendragarh,28.2833,76.15,90.75,54,89,4.25,IN,1687925314
307,guarapari,-20.6667,-40.4975,68.9,84,0,8.28,BR,1687925315
308,tindouf,27.6711,-8.1474,87.35,17,30,6.04,DZ,1687925315
309,rio preto da eva,-2.6994,-59.6997,77.36,69,99,2.71,BR,1687925315
310,borogontsy,62.6683,131.1683,82.98,47,0,5.06,RU,1687925316
311,kupang,-10.1667,123.5833,88.38,66,40,11.5,ID,1687925316
312,sevastopol,44.6,33.5333,73.0,53,0,3.0,UA,1687925316
313,vilyuysk,63.7553,121.6247,82.76,39,23,6.82,RU,1687925317
314,gebre guracha,9.8,38.4,53.6,88,78,2.73,ET,1687925317
315,biltine,14.5333,20.9167,86.65,35,35,8.84,TD,1687925318
316,gamboula,4.1178,15.1393,67.57,99,100,2.35,CF,1687925318
317,sangsong-ni,39.1694,126.8856,82.94,51,16,7.78,KP,1687925318
318,howard springs,-12.497,131.047,87.71,39,28,5.44,AU,1687925319
319,tual,-5.6667,132.75,81.16,81,86,16.71,ID,1687925319
320,chegdomyn,51.1167,133.0167,84.49,49,11,3.6,RU,1687925320
321,rocky mountain house,52.3668,-114.9188,55.62,94,100,5.48,CA,1687925320
322,larne,54.85,-5.8167,60.76,94,86,6.87,GB,1687925320
323,lafia,8.4833,8.5167,72.34,95,99,3.83,NG,1687925321
324,katsuren-haebaru,26.3369,127.8719,86.38,80,75,5.75,JP,1687925321
325,taltal,-25.4,-70.4833,62.15,70,2,1.41,CL,1687925321
326,chabahar,25.2919,60.643,86.54,72,86,4.32,IR,1687925119
327,lucapa,-8.4192,20.7447,62.76,47,4,1.95,AO,1687925322
328,sidareja,-7.4846,108.7923,82.17,72,85,6.91,ID,1687925323
329,selkirk,50.1436,-96.8845,68.09,83,99,4.21,CA,1687925323
330,dembi dolo,8.5333,34.8,56.64,95,100,3.62,ET,1687925324
331,leava,-14.3,-178.1667,80.31,75,62,4.99,WF,1687925324
332,les avirons,-21.2418,55.3394,64.49,64,61,12.66,RE,1687925324
333,san patricio,28.017,-97.5169,84.06,86,0,12.12,US,1687925325
334,shiyan,32.6475,110.7781,86.97,68,100,3.22,CN,1687925326
335,doctor juan leon mallorquin,-25.4,-55.2667,60.53,89,0,2.62,PY,1687925326
336,manokwari,-0.8667,134.0833,84.2,70,35,9.75,ID,1687925326
337,les anglais,18.3054,-74.2197,80.01,85,91,2.46,HT,1687925327
338,iskateley,67.6803,53.1512,43.59,83,100,8.66,RU,1687925327
339,pandan,14.0453,124.1694,86.05,69,100,5.79,PH,1687925327
340,nizao,18.25,-70.2,82.47,77,99,8.5,DO,1687925328
341,novodvinsk,64.4165,40.8122,54.99,60,13,4.5,RU,1687925328
342,ifon,6.9241,5.776,72.32,99,100,2.91,NG,1687925329
343,toliara,-23.35,43.6667,61.99,79,0,10.58,MG,1687925329
344,concordia,-31.393,-58.0209,56.79,95,100,13.0,AR,1687925329
345,mejit,10.2753,170.8646,82.74,78,99,17.43,MH,1687925330
346,san luis de la loma,17.2706,-100.8939,81.23,82,68,1.95,MX,1687925330
347,youkounkoun,12.5333,-13.1333,74.73,95,100,6.91,GN,1687925331
348,salalah,17.0151,54.0924,82.49,89,100,6.91,OM,1687925331
349,hovd,48.0056,91.6419,73.67,15,10,4.07,MN,1687925331
350,san felipe,10.3399,-68.7425,72.12,98,69,0.81,VE,1687925332
351,guerrero negro,27.9769,-114.0611,62.92,86,0,14.99,MX,1687925332
352,jamaame,0.0697,42.745,75.0,88,24,4.74,SO,1687925332
353,saipan,15.1355,145.701,83.1,100,0,9.22,MP,1687925333
354,kyshtovka,56.555,76.6271,56.84,86,100,7.54,RU,1687925333
355,agat village,13.3886,144.6585,89.37,74,40,12.66,GU,1687925334
356,ljusdal,61.8288,16.0913,61.27,67,27,1.32,SE,1687925334
357,ardestan,33.3761,52.3694,91.0,13,0,1.7,IR,1687925334
358,geraldton,-28.7667,114.6,61.21,51,0,16.11,AU,1687925335
359,zintan,31.9223,12.252,65.25,61,0,4.9,LY,1687925336
360,lejanias,3.5251,-74.0216,68.97,93,78,4.07,CO,1687925336
361,akureyri,65.6835,-18.0878,50.86,90,100,3.87,IS,1687925337
362,raymondville,26.4815,-97.7831,84.09,82,3,13.27,US,1687925337
363,chernyshevskiy,63.0128,112.4714,77.27,34,100,5.55,RU,1687925337
364,bang saphan,11.2126,99.5117,89.89,58,100,7.76,TH,1687925338
